id,popularity,vote_average,vote_count
43871,95,7.9,5439
43872,65,7.1,2608
43873,132,7.4,5815
43874,88,7.3,3855
43875,51,5.6,1243
43876,101,7.7,4185
43877,33,6.5,1344
43878,42,7.4,1502
43879,38,6.8,1116
43880,40,6.2,954
43881,32,5.4,1060
43882,24,6.1,1383
43883,24,5.6,543
43884,82,7.8,10099
43885,46,6.8,1129
43886,51,7.2,1490
43887,53,6.1,2896
43888,58,6.4,1926
43889,30,4.9,967
43890,31,6.4,572
43891,36,6.4,1121
43892,41,6,1699
43893,20,5.5,482
43894,52,7.3,2281
43895,95,7.9,6571
43896,48,5.2,1498
43897,58,6.7,1560
43898,73,6.6,2977
43899,37,6.5,703
43900,32,4.2,808
43901,76,5.6,1680
43902,38,7.2,948
43903,19,5.3,381
43904,61,6.1,1795
43905,33,5.5,783
43906,17,3.6,338
43907,50,6.5,1276
43908,12,4.4,142
43909,30,6.4,717
43910,34,6.5,604
43911,3,7.1,73
43912,41,6,2206
43913,46,7.1,1910
43915,23,5.9,601
43916,19,5.4,334
43917,44,7.2,1811
43918,16,5.6,578
43919,109,7.3,3885
43920,18,5.4,426
43921,37,7,858
43922,65,6.2,2672
43923,101,6.7,2374
43924,29,6.6,1065
43925,85,7.6,6122
43926,123,8.1,8064
43927,106,8,7487
43928,63,5.2,957
43929,41,5.7,2192
43930,58,5.9,2295
43931,1,5.7,2077
43932,138,7,4347
43933,21,6.3,572
43934,65,5.2,3493
43935,10,5.8,106
43936,77,7.4,5152
43937,7,5.7,136
43938,61,6,2010
43939,104,6.9,4412
43940,73,7.3,3806
43941,37,6.3,1165
43942,35,6.4,1054
43943,15,6.3,488
43944,46,6.5,1747
43945,69,6.5,2271
43946,43,7,3144
43947,40,5.6,1232
43948,63,7.9,4339
43949,67,7.6,2008
43950,43,6.5,1667
43951,47,7.2,2434
43952,51,6.9,2066
43953,57,7,5766
43954,29,5.3,621
43955,51,6.7,1224
43956,27,5.8,428
43957,38,6.7,1173
43958,40,5.5,1048
43959,140,5.6,2513
43960,34,6.8,1974
43961,16,5.2,466
43962,55,7.2,1308
43963,28,5.6,634
43964,18,6.2,392
43965,40,5.9,1648
43966,56,5.5,1418
43967,51,6.7,3235
43968,20,5.9,302
43969,27,6.8,579
43970,16,5.7,369
43971,46,6.5,2166
43972,24,6.9,963
43973,19,5.2,376
43974,15,5.9,290
43975,15,6.1,264
43976,31,6.6,650
43977,24,7.3,616
43978,3,5.4,50
43979,14,6.7,216
43980,32,6.1,950
43981,57,7.5,3218
43982,37,5.9,1410
43983,53,7.2,2825
43984,36,6.2,840
43985,60,7.2,3783
43986,36,5.6,924
43987,56,6.8,2566
43988,29,6.6,1449
43989,34,6.3,1345
43990,9,5.1,313
43991,36,5.8,932
43992,44,6.7,1225
43993,41,6.7,1240
43994,16,6.2,360
43995,42,6.5,1999
43996,26,6.1,656
43997,80,6.9,4663
43998,41,7.2,999
43999,24,6.4,514
44000,32,6.1,712
44001,16,7.3,652
44002,8,6.1,1705
44003,19,6.7,333
44004,36,6.9,1147
44005,18,5.5,427
44006,5,7.3,85
44007,48,5.5,1114
44008,38,7.2,2126
44009,29,5.4,516
44010,17,4.7,332
44011,31,5.4,820
44012,57,6.6,1940
44013,41,6,2104
44014,13,6.7,226
44015,11,4.9,119
44016,21,5.9,1799
44017,58,6.5,1527
44018,51,7.3,2023
44019,18,5.7,595
44020,109,6.4,3012
44021,77,6,2926
44022,75,6.7,2631
44023,68,6.9,9455
44024,58,6.2,3739
44025,59,6.6,1673
44026,36,6.3,1074
44027,55,7.1,1314
44028,14,5.8,288
44029,34,5.9,855
44030,44,6.4,1526
44031,26,6.2,785
44032,23,5.4,484
44033,45,5.8,1155
44034,23,6,1051
44035,16,6.3,410
44036,81,7.8,6336
44037,19,5.3,331
44038,29,6,1333
44039,46,6.8,1583
44040,23,5.9,901
44041,49,7.3,1077
44042,37,6.3,1543
44043,45,6.5,1270
44044,46,6.3,1018
44045,24,6.7,533
44046,32,6.6,2164
44047,11,5.3,695
44048,19,5.2,369
44049,36,6.5,1288
44050,25,5.6,550
44051,41,5.2,1043
44052,22,6.5,431
44053,139,7.4,3946
44054,18,5.6,332
44055,11,5.2,220
44056,41,7.4,831
44057,27,5.3,498
44058,17,5,388
44059,21,6.2,393
44061,61,6.7,1497
44062,14,7,292
44063,25,5.8,631
44064,6,5.9,208
44065,36,6.1,932
44066,31,5.9,893
44067,21,6.8,577
44068,18,5.2,438
44069,40,5.6,818
44070,44,6.1,1509
44071,3,6.4,47
44072,20,6.7,349
44073,36,5.9,1195
44074,18,6.9,189
44075,16,5.8,378
44076,10,5.2,133
44077,7,3,255
44078,16,5.6,297
44079,9,5.1,165
44080,11,5.4,318
44081,14,6.1,299
44082,11,5.2,305
44083,52,5.7,1316
44084,13,5.4,267
44085,27,6,639
44086,10,7.3,111
44087,7,4.8,111
44088,50,5.2,1267
44089,0,5.3,9
44090,59,7.7,3009
44091,90,8,5376
44092,40,5.8,1030
44093,41,6.4,915
44094,10,6.7,1115
44095,16,6.5,318
44096,22,4.1,604
44097,10,6.2,2028
44098,35,7.6,756
44099,15,5.7,359
44100,8,3.9,87
44101,31,5.9,3462
44102,47,5.7,1155
44103,136,7,4637
44104,60,6.7,3260
44105,2,6.2,2487
44106,48,6.6,3237
44107,35,7.4,2071
44108,4,6.8,4097
44109,73,6.4,2528
44110,51,6.9,1456
44111,85,6.5,2951
44112,61,6.6,2105
44113,31,6.5,709
44114,15,4.7,183
44115,17,4.3,318
44116,71,7.3,5487
44117,38,6,1705
44118,57,7,1910
44119,13,5.7,202
44120,13,5.9,283
44121,18,6.5,338
44122,47,5.8,1557
44123,14,6.6,284
44124,18,5.4,292
44125,29,6.9,696
44126,27,6.4,573
44127,23,5.7,772
44128,48,7.1,2265
44129,14,5.8,369
44130,36,6.3,874
44131,24,6.2,302
44132,19,5.9,311
44133,13,6.4,197
44134,37,5.7,880
44135,23,6.2,512
44136,14,6.3,313
44137,10,5,166
44138,11,6.1,221
44139,12,5.8,282
44140,8,4.3,78
44141,20,5.7,276
44142,42,6.9,1946
44143,875,6.4,4571
44144,39,5.9,1623
44145,20,5.8,327
44146,18,5.8,476
44147,45,5.9,1022
44148,21,5.4,444
44149,20,5.7,390
44150,26,6.5,513
44151,12,6.2,491
44152,13,4.9,410
44153,60,7.7,3336
44154,32,6.6,765
44155,46,6.9,2264
44156,11,6.6,188
44157,8,4.5,179
44159,27,6.2,1071
44160,21,5.4,686
44162,47,6.7,2988
44163,82,6.6,3877
44164,20,5.7,455
44165,46,5.8,1424
44166,36,5.8,719
44167,16,6.4,470
44168,72,7.9,6430
44169,33,6.6,1532
44170,57,6.6,1896
44171,34,5.8,770
44172,27,6.5,1078
44173,20,5.3,409
44174,42,5.5,1217
44175,29,5.4,666
44176,19,6.7,521
44177,59,6.2,2981
44178,19,6.3,391
44179,49,5.5,1448
44180,46,7.6,1994
44181,13,6,216
44182,29,7,992
44183,43,5.8,1523
44184,24,7.1,808
44185,23,5.8,493
44186,64,6.2,2389
44187,20,6,352
44188,48,7.1,1184
44189,16,7,630
44190,14,5.2,304
44191,14,5.4,228
44192,29,5,609
44193,13,5.2,269
44194,58,6.1,1862
44195,23,6,385
44196,14,5.9,241
44197,29,6.1,695
44198,9,3.4,106
44199,8,4.3,97
44200,10,5.5,179
44201,10,5.9,228
44202,6,5.9,43
44203,46,5.1,826
44204,24,5.7,439
44205,13,4.6,180
44206,44,6.7,1659
44207,25,4.4,533
44208,22,5.9,437
44209,107,5.8,2301
44210,22,6.7,423
44211,113,7.1,6478
44212,10,5.4,222
44213,68,6.2,2463
44214,18,6.9,395
44215,12,5.7,250
44216,27,5.4,611
44217,26,7.3,481
44218,28,6.3,588
44219,37,6.5,895
44220,11,5.5,531
44221,38,5.5,1269
44222,25,6,602
44223,18,6.6,488
44224,12,5,207
44225,76,7.9,5048
44226,54,6.1,1520
44227,31,6.1,992
44228,99,7.1,3857
44229,26,5.3,567
44230,36,6.7,1429
44231,104,7.9,8907
44232,68,7.3,1599
44233,14,5.5,297
44234,48,7.1,1884
44235,28,6.3,838
44236,22,6.5,1062
44237,31,6.3,1183
44238,43,6.2,1685
44239,43,7.3,1400
44240,15,6.3,403
44241,26,6.1,588
44242,22,5.7,453
44243,18,6,238
44244,24,5.9,447
44245,19,6.5,393
44246,31,5.9,1743
44247,27,7.1,1234
44248,33,6,466
44249,59,6.7,2542
44250,38,5.9,1389
44251,49,5.7,1252
44252,11,6.4,215
44253,9,6.1,94
44254,6,5.6,1600
44255,42,6,1175
44256,15,6.5,314
44257,14,6,208
44258,15,6.1,779
44259,146,8.3,9413
44260,8,6.7,186
44261,16,5.4,269
44262,2,4.9,52
44263,31,5,687
44264,20,6.7,274
44265,28,4.8,575
44266,85,6.3,1286
44267,4,5.3,63
44268,60,6.7,1772
44269,42,7.1,1165
44270,40,5.9,979
44271,24,6.1,409
44272,40,7.6,4856
44273,13,6.5,202
44274,18,6.4,386
44276,12,5.3,261
44277,18,6.1,340
44278,11,6.5,195
44279,13,4.3,242
44280,11,5.8,178
44281,68,7.6,4274
44282,19,5.9,569
44283,16,5.5,331
44284,65,7,4997
44285,32,6.1,1373
44286,30,6.9,1343
44287,103,8.2,4048
44288,31,5.6,648
44289,47,5.6,944
44290,143,7.9,5862
44291,86,7.3,3583
44292,59,6.6,1174
44293,18,6.1,205
44294,56,7.8,4537
44295,29,6.8,817
44296,18,5.6,506
44297,42,6.6,1589
44298,18,5,352
44299,62,6.6,1919
44300,24,5.9,487
44301,41,6,1272
44302,26,5.3,588
44303,16,5.9,353
44304,18,5.7,526
44305,113,6.4,3040
44306,28,5.8,636
44307,19,6.5,521
44308,41,6.6,2808
44309,23,6.8,422
44310,12,6.7,292
44311,44,7,1451
44312,37,5.3,779
44313,10,6.2,207
44314,56,6.3,2998
44315,22,5.6,604
44316,15,6.7,247
44317,38,6.2,1325
44318,10,4.3,203
44319,51,7.3,1386
44320,20,4.9,950
44321,45,7.3,1553
44322,4,4.5,137
44323,28,5.6,644
44324,22,5.5,575
44325,47,6.5,2225
44326,10,6.1,109
44327,39,6.7,789
44328,19,6.1,527
44329,29,5.9,581
44330,4,5.9,50
44331,16,5.8,258
44332,21,5.3,483
44333,13,5.6,210
44334,42,5.9,1173
44335,29,6.4,1581
44336,61,5.8,1621
44337,37,5.9,1365
44338,37,6.9,1462
44339,30,6.6,668
44340,15,6.3,338
44341,59,7.5,3070
44342,19,5.3,425
44343,27,6,669
44344,29,6.2,1778
44345,25,4.6,524
44346,23,7,1125
44347,21,6.7,484
44348,13,5.7,201
44349,6,5.1,80
44350,15,5.8,225
44351,23,5.6,556
44352,21,6.1,479
44353,22,5.8,391
44354,18,6.6,366
44355,24,6.2,487
44356,12,5.8,130
44357,21,5.7,380
44358,18,5.9,375
44359,18,6,368
44360,17,6.6,234
44361,16,6.3,251
44362,21,7.4,797
44363,16,5.1,464
44364,36,4.7,549
44365,28,5.4,692
44366,18,6.6,372
44367,29,6.5,742
44368,8,6.1,204
44369,15,5.7,287
44370,13,6.3,271
44371,15,7,285
44372,5,4.9,109
44373,22,6,487
44374,45,6.2,1602
44375,18,5,371
44376,14,5.3,274
44377,14,5.7,166
44378,27,6,592
44379,14,4.7,320
44380,52,5.4,1055
44381,15,4.1,224
44382,6,6.7,110
44384,8,6.8,91
44385,514,7.4,10995
44386,9,4.9,111
44387,87,7.4,4469
44388,45,6.2,995
44389,13,6.5,579
44390,6,4.4,134
44391,31,5.7,690
44392,7,5.7,130
44393,19,4.9,388
44394,14,5.1,276
44395,1,6.1,1658
44396,2,5.8,1363
44397,12,5.9,178
44398,33,7.2,1374
44399,21,5.5,453
44400,31,6.4,535
44401,14,6,226
44402,48,4.7,1135
44403,9,5.5,145
44404,35,5.8,842
44405,23,6,381
44406,138,8.2,7927
44407,47,5.5,1177
44408,29,6.6,1698
44409,47,6.7,1457
44410,48,6.9,1022
44411,20,5.4,702
44412,34,6.4,1665
44413,22,5.4,496
44414,36,6,1129
44415,52,7.6,2454
44416,38,5.9,1122
44417,19,6,1019
44418,79,7.1,2954
44419,19,5.6,485
44420,20,7,498
44421,80,7.7,2525
44422,32,6.1,772
44423,15,5.9,210
44424,21,6.4,529
44425,79,7.7,4949
44426,13,6,254
44427,50,7.6,3948
44428,22,6.1,458
44429,29,6.3,636
44430,25,6.2,735
44431,17,5.8,256
44432,32,5.7,751
44433,17,6.3,461
44434,14,5.7,254
44435,45,6.2,1633
44436,7,5.9,120
44437,32,6.7,658
44438,12,6.4,236
44439,39,7,883
44440,39,5.3,881
44441,8,6,189
44442,7,6.2,146
44443,8,5.1,188
44444,10,5.4,251
44445,23,6.4,374
44446,27,7.3,1131
44447,20,5.3,284
44448,4,5.7,194
44449,18,7,438
44450,15,6.6,303
44451,29,5.4,703
44452,4,6.1,48
44453,4,5.2,62
44454,12,5.7,134
44455,14,6.2,316
44456,9,4.2,91
44457,22,6.9,573
44458,23,7.1,346
44459,23,7.3,395
44460,12,5.3,123
44461,67,6.2,1528
44462,41,7.5,2039
44463,22,5.2,481
44464,59,7.1,1546
44465,22,6.1,327
44466,18,5.4,407
44467,30,6.5,629
44468,9,3.5,104
44469,7,5.7,95
44470,19,5.5,308
44471,45,7.4,1432
44472,57,7.4,1300
44473,8,5.4,113
44474,46,6.3,1242
44475,23,6.7,526
44476,49,7.2,1486
44477,16,6.8,459
44478,1,5.9,26
44479,6,5.4,81
44480,73,7.7,3795
